,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,95,84,188,11,0.3088235294117647,0.8842105263157894,0.4577656675749319,0.003055285630952404,0.004116195944308715
1,153,134,330,19,0.28879310344827586,0.8758169934640523,0.4343598055105349,0.0038250922238803934,0.004878895957031184
2,126,113,273,13,0.2927461139896373,0.8968253968253969,0.44140625,0.003912467601769538,0.004857572265474019
3,159,125,313,34,0.2853881278538813,0.7861635220125787,0.4187604690117253,0.004896145160000222,0.00456047496531339
4,180,145,319,35,0.3125,0.8055555555555556,0.45031055900621114,0.00147048244827585,0.005852906808594327
5,122,89,249,33,0.26331360946745563,0.7295081967213115,0.3869565217391304,0.001346785865168308,0.006082168790166651
6,138,121,264,17,0.3142857142857143,0.8768115942028986,0.46271510516252384,0.0020618054462811135,0.004956245294270467
7,91,82,132,9,0.38317757009345793,0.9010989010989011,0.5377049180327869,0.002017864060975453,0.0038524516565865067
8,75,61,103,14,0.3719512195121951,0.8133333333333334,0.5104602510460251,0.002865320950819263,0.00774511640335297
9,89,78,110,11,0.4148936170212766,0.8764044943820225,0.5631768953068592,0.001441362897435925,0.005106679330436841
10,62,52,108,10,0.325,0.8387096774193549,0.46846846846846846,0.002099686000000096,0.005358489469286124
11,84,79,112,5,0.41361256544502617,0.9404761904761905,0.5745454545454545,0.001506931886076099,0.005106188137281474
12,59,46,97,13,0.32167832167832167,0.7796610169491526,0.45544554455445535,0.003994873347826058,0.005906769346827862
13,86,77,111,9,0.4095744680851064,0.8953488372093024,0.5620437956204379,0.0023329504545453916,0.005190193672292242
14,78,66,133,12,0.3316582914572864,0.8461538461538461,0.4765342960288808,0.0015282072878786237,0.004593612252498525
15,77,75,81,2,0.4807692307692308,0.974025974025974,0.6437768240343347,0.002625850346666489,0.004380860027024062
16,170,146,251,24,0.3677581863979849,0.8588235294117647,0.5149911816578483,0.002544341952054439,0.004980791349279273
17,101,87,156,14,0.35802469135802467,0.8613861386138614,0.5058139534883721,0.0016686214712645783,0.005356893353793225
18,68,55,221,13,0.19927536231884058,0.8088235294117647,0.31976744186046513,0.003515151490909251,0.005084515094211426
19,197,173,285,24,0.3777292576419214,0.8781725888324873,0.5282442748091603,0.0027178115838149613,0.005139888629580187
20,185,162,288,23,0.36,0.8756756756756757,0.510236220472441,0.0020276587901234284,0.004976698956678973
21,191,163,398,28,0.2905525846702317,0.8534031413612565,0.4335106382978723,0.002174227552147138,0.004962333039909841
22,263,218,504,45,0.30193905817174516,0.8288973384030418,0.44263959390862945,0.001949801362385091,0.005075791676184429
23,175,154,465,21,0.24878836833602586,0.88,0.3879093198992444,-0.0006976470454550305,0.005653559130915566
24,187,174,440,13,0.28338762214983715,0.93048128342246,0.4344569288389513,-0.0011658456839076813,0.0052984408526050636
25,123,112,307,11,0.26730310262529833,0.9105691056910569,0.4132841328413284,-0.00014799973214289577,0.005560928486391675
26,230,198,455,32,0.30321592649310875,0.8608695652173913,0.44847112117780297,-0.0015453858030304156,0.00627788047898061
27,143,123,326,20,0.2739420935412027,0.8601398601398601,0.41554054054054057,-0.0013229356991867707,0.006084317372367317
28,154,141,349,13,0.28775510204081634,0.9155844155844156,0.437888198757764,-0.00033289912765942047,0.0056869768363871235
29,284,237,589,47,0.28692493946731235,0.8345070422535211,0.42702702702702705,0.0010289235021094228,0.006810815059592582
30,235,199,492,36,0.28798842257597684,0.8468085106382979,0.42980561555075597,-0.0007142287185927862,0.006011902569117948
31,214,186,411,28,0.31155778894472363,0.8691588785046729,0.45869297163995065,0.0005857898172043606,0.006048929486591007
