,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,95,95,233,0,0.2896341463414634,1.0,0.4491725768321513,0.003235708347368362,0.0040801393014354695
1,153,153,392,0,0.28073394495412846,1.0,0.4383954154727794,0.004464156013071833,0.004117080340460798
2,126,125,314,1,0.2847380410022779,0.9920634920634921,0.44247787610619466,0.004378049855999785,0.004686767271985347
3,159,157,364,2,0.30134357005758156,0.9874213836477987,0.46176470588235297,0.0049207793949045085,0.004540534751140007
4,180,178,355,2,0.3339587242026266,0.9888888888888889,0.49929873772791017,0.002221075702247206,0.005191329662249222
5,122,121,274,1,0.30632911392405066,0.9918032786885246,0.46808510638297873,0.0025428683719005466,0.004714781879076521
6,138,138,316,0,0.3039647577092511,1.0,0.46621621621621623,0.0020841960072464404,0.004127688717817309
7,91,91,175,0,0.34210526315789475,1.0,0.5098039215686275,0.0022591014505493495,0.004647337357369263
8,75,75,146,0,0.3393665158371041,1.0,0.5067567567567567,0.0029157974266663324,0.006350725502540621
9,89,89,157,0,0.3617886178861789,1.0,0.5313432835820896,0.0010142933820224992,0.00469160893975112
10,62,62,124,0,0.3333333333333333,1.0,0.5,0.002723648564516231,0.005818201835436164
11,84,84,144,0,0.3684210526315789,1.0,0.5384615384615384,0.0012377173095239283,0.00524274567929728
12,59,59,116,0,0.33714285714285713,1.0,0.5042735042735043,0.0034490180508474585,0.005893655302089896
13,86,86,168,0,0.33858267716535434,1.0,0.5058823529411764,0.003261351011627761,0.005394334574617406
14,78,78,147,0,0.3466666666666667,1.0,0.5148514851485149,0.0020882028461536475,0.004414961089283319
15,77,77,125,0,0.3811881188118812,1.0,0.5519713261648747,0.002678092896103661,0.004246401196039653
16,170,169,305,1,0.35654008438818563,0.9941176470588236,0.5248447204968945,0.0028493606686386657,0.005173591286254736
17,101,100,186,1,0.34965034965034963,0.9900990099009901,0.5167958656330749,0.0020115646300001623,0.0048363124191364085
18,68,68,238,0,0.2222222222222222,1.0,0.3636363636363636,0.004845938367647286,0.005559047067213715
19,197,197,304,0,0.3932135728542914,1.0,0.5644699140401146,0.002718671223350206,0.004224162910885881
20,185,185,328,0,0.36062378167641324,1.0,0.5300859598853868,0.0024157626918918174,0.004849268500364332
21,191,191,439,0,0.30317460317460315,1.0,0.4652862362971985,0.0022727974240836966,0.004497829935374865
22,263,263,556,0,0.32112332112332115,1.0,0.4861367837338263,0.0016487761634979337,0.0048371380621368325
23,175,172,534,3,0.24362606232294617,0.9828571428571429,0.3904653802497162,3.3618093022783394e-05,0.005700014187720096
24,187,187,546,0,0.2551159618008186,1.0,0.4065217391304348,-0.0008038367272723842,0.00546803698177842
25,123,123,362,0,0.2536082474226804,1.0,0.40460526315789475,4.47983658534757e-05,0.005484084275798945
26,230,229,526,1,0.3033112582781457,0.9956521739130435,0.4649746192893401,-0.0010461535196506762,0.005890994369744316
27,143,143,389,0,0.26879699248120303,1.0,0.42370370370370375,-0.000959358111887793,0.005959593764069048
28,154,154,424,0,0.2664359861591695,1.0,0.4207650273224044,0.00017522158441559557,0.005623822201470782
29,284,282,657,2,0.3003194888178914,0.9929577464788732,0.4611610793131644,0.002136022230496149,0.00630429929472293
30,235,234,566,1,0.2925,0.9957446808510638,0.45217391304347826,-0.0005879217564103439,0.0045890017661536445
31,214,214,453,0,0.32083958020989506,1.0,0.4858115777525539,0.001163773864485988,0.005941945053669562
