,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,95,95,4,0,0.9595959595959596,1.0,0.979381443298969,-0.0029748179684211617,0.003711873766988095
1,153,153,15,0,0.9107142857142857,1.0,0.9532710280373832,-0.0026600269934642417,0.0041620606246607185
2,126,124,4,2,0.96875,0.9841269841269841,0.9763779527559054,-0.0025921659274193484,0.004632326382702136
3,159,157,3,2,0.98125,0.9874213836477987,0.9843260188087775,-0.0035015959299363676,0.0044080543060160335
4,180,179,1,1,0.9944444444444445,0.9944444444444445,0.9944444444444445,-0.005060616413407903,0.004874945468726185
5,122,121,2,1,0.983739837398374,0.9918032786885246,0.9877551020408164,-0.004977792785124204,0.003917954910331273
6,138,138,1,0,0.9928057553956835,1.0,0.996389891696751,-0.005089717036231605,0.003996874389480616
7,91,89,1,2,0.9888888888888889,0.978021978021978,0.9834254143646408,-0.004535911741572959,0.003733144203996696
8,75,75,0,0,1.0,1.0,1.0,-0.00428420257333349,0.005036824239467145
9,89,88,0,1,1.0,0.9887640449438202,0.9943502824858756,-0.006061121397727129,0.0039831949898511175
10,62,60,2,2,0.967741935483871,0.967741935483871,0.967741935483871,-0.0046549509000001505,0.00526957671403279
11,84,84,0,0,1.0,1.0,1.0,-0.005071806499999874,0.003968357850820345
12,59,58,1,1,0.9830508474576272,0.9830508474576272,0.9830508474576272,-0.0044835405172414244,0.005055012592216764
13,86,86,0,0,1.0,1.0,1.0,-0.0034828350348837466,0.0044379021334492045
14,78,75,1,3,0.9868421052631579,0.9615384615384616,0.974025974025974,-0.0056169311866668984,0.004347981872655592
15,77,77,0,0,1.0,1.0,1.0,-0.004854374636363795,0.004334772677444751
16,170,168,1,2,0.9940828402366864,0.9882352941176471,0.9911504424778761,-0.0038914533928573656,0.00549964032250261
17,101,101,0,0,1.0,1.0,1.0,-0.005184885831682999,0.0046503469485115745
18,68,68,1,0,0.9855072463768116,1.0,0.9927007299270074,-0.002359943985293711,0.00619859905833394
19,197,197,0,0,1.0,1.0,1.0,-0.004083359233502548,0.004220825291015443
20,185,184,2,1,0.989247311827957,0.9945945945945946,0.9919137466307278,-0.004081755902173875,0.004422244241281767
21,191,188,4,3,0.9791666666666666,0.9842931937172775,0.9817232375979111,-0.004608119845744326,0.004881675814998056
22,263,260,2,3,0.9923664122137404,0.9885931558935361,0.9904761904761904,-0.005005930526923053,0.00435898919571149
23,175,165,7,10,0.9593023255813954,0.9428571428571428,0.9510086455331412,-0.006254105684848675,0.004865479333103913
24,187,186,3,1,0.9841269841269841,0.9946524064171123,0.9893617021276594,-0.007132128876343666,0.00513560654324772
25,123,119,4,4,0.967479674796748,0.967479674796748,0.967479674796748,-0.006312810873949719,0.004074957068204205
26,230,227,6,3,0.9742489270386266,0.9869565217391304,0.980561555075594,-0.007563107453744241,0.005559749356339028
27,143,142,2,1,0.9861111111111112,0.993006993006993,0.9895470383275262,-0.007857142866197339,0.005700472943298201
28,154,151,9,3,0.94375,0.9805194805194806,0.9617834394904459,-0.00640251688079447,0.005734196989297381
29,284,275,2,9,0.9927797833935018,0.9683098591549296,0.9803921568627452,-0.0051243867527272745,0.00626885756957921
30,235,231,3,4,0.9871794871794872,0.9829787234042553,0.9850746268656716,-0.0075998075800863705,0.004528273642861472
31,214,201,9,13,0.9571428571428572,0.9392523364485982,0.9481132075471699,-0.0056551709104477235,0.006220281102348754
