,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,86,86,21,0,0.8037383177570093,1.0,0.8911917098445596,0.0010825930232554956,0.0038684275015010137
1,151,151,9,0,0.94375,1.0,0.9710610932475884,0.0013434370860928102,0.0028133113895405393
2,124,124,2,0,0.9841269841269841,1.0,0.9919999999999999,0.001264540322580615,0.003365654129008907
3,154,154,4,0,0.9746835443037974,1.0,0.9871794871794872,0.0013777597402599494,0.003167208437477733
4,179,179,2,0,0.988950276243094,1.0,0.9944444444444445,0.00113327932960895,0.0034276302937093317
5,118,118,3,0,0.9752066115702479,1.0,0.9874476987447699,0.0010444067796610585,0.003818041290001902
6,132,132,11,0,0.9230769230769231,1.0,0.9600000000000001,0.000644704545454346,0.003335228356950707
7,140,140,1,0,0.9929078014184397,1.0,0.9964412811387899,0.00013522142857154418,0.0035510838387091065
8,117,117,2,0,0.9831932773109243,1.0,0.9915254237288135,-0.00011299999999994862,0.004612624660256847
9,136,136,2,0,0.9855072463768116,1.0,0.9927007299270074,0.0004005073529412768,0.0033327616948487233
10,55,55,11,0,0.8333333333333334,1.0,0.9090909090909091,0.0013634181818182273,0.0031204635127193804
11,128,127,3,1,0.9769230769230769,0.9921875,0.9844961240310077,-0.000329984251968406,0.003988029699192461
12,53,53,16,0,0.7681159420289855,1.0,0.8688524590163935,0.0015273773584907546,0.0034510777984287735
13,130,129,3,1,0.9772727272727273,0.9923076923076923,0.9847328244274809,9.355813953479763e-05,0.0036202217091450017
14,74,74,8,0,0.9024390243902439,1.0,0.9487179487179488,0.0014190405405405543,0.003575238655572997
15,118,118,1,0,0.9915966386554622,1.0,0.9957805907172996,0.0007665254237290283,0.00311432198108917
16,165,165,11,0,0.9375,1.0,0.967741935483871,0.0010518545454545592,0.003819090931423586
17,98,98,5,0,0.9514563106796117,1.0,0.9751243781094527,0.0015169489795918791,0.003640074178915524
18,66,66,5,0,0.9295774647887324,1.0,0.9635036496350364,0.0002604545454544283,0.003661554232761081
19,192,192,4,0,0.9795918367346939,1.0,0.9896907216494846,0.000838052083333774,0.003533423383885136
20,177,176,17,1,0.9119170984455959,0.9943502824858758,0.9513513513513513,0.0010974545454546791,0.0031945888959056083
21,187,187,20,0,0.9033816425120773,1.0,0.949238578680203,0.0008227593582886216,0.003821892049121375
22,255,254,27,1,0.9039145907473309,0.996078431372549,0.9477611940298507,0.001227236220472451,0.004058024703644117
23,165,165,31,0,0.8418367346938775,1.0,0.9141274238227147,0.0010001515151515366,0.0035483151727152213
24,179,178,15,1,0.9222797927461139,0.994413407821229,0.956989247311828,0.001059741573033578,0.0033209200025826596
25,121,121,6,0,0.952755905511811,1.0,0.9758064516129031,0.0013050991735537143,0.0030241610937156
26,222,222,12,0,0.9487179487179487,1.0,0.9736842105263158,0.0005835405405402722,0.003838505204282975
27,138,138,9,0,0.9387755102040817,1.0,0.968421052631579,0.0003646231884057511,0.0037390392845027915
28,148,148,10,0,0.9367088607594937,1.0,0.9673202614379084,0.00043222972972966576,0.004744960225525792
29,276,276,6,0,0.9787234042553191,1.0,0.989247311827957,0.0007893768115940538,0.003803625622974473
30,229,229,11,0,0.9541666666666667,1.0,0.9765458422174841,0.00026203930131026926,0.003997561149867337
31,210,210,9,0,0.958904109589041,1.0,0.9790209790209791,0.00031856190476187575,0.0040946386303113555
