,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,323,307,18,16,0.9446153846153846,0.9504643962848297,0.9475308641975309,-0.009446254071661277,0.005170028632971043
1,645,625,19,20,0.9704968944099379,0.9689922480620154,0.9697439875872769,-0.00870399999999976,0.005161432359335855
2,505,499,22,6,0.9577735124760077,0.9881188118811881,0.97270955165692,-0.009539078156312584,0.004902657243577203
3,640,607,19,33,0.9696485623003195,0.9484375,0.9589257503949448,-0.009176276771004969,0.005533801834528162
4,719,689,17,30,0.9759206798866855,0.9582753824756607,0.9670175438596491,-0.00915820029027588,0.005183393737333352
5,501,474,9,27,0.9813664596273292,0.9461077844311377,0.9634146341463414,-0.009388185654008488,0.005098724470190248
6,562,529,10,33,0.9814471243042672,0.9412811387900356,0.96094459582198,-0.009603024574669161,0.00499841849481428
7,366,337,23,29,0.9361111111111111,0.9207650273224044,0.9283746556473829,-0.008635014836795255,0.005101959484199681
8,296,281,13,15,0.95578231292517,0.9493243243243243,0.9525423728813558,-0.008434163701067676,0.00510077519350006
9,355,345,5,10,0.9857142857142858,0.971830985915493,0.9787234042553192,-0.008840579710144946,0.005473581315515378
10,234,227,5,7,0.978448275862069,0.9700854700854701,0.9742489270386265,-0.009383259911894246,0.004556863626779152
11,335,321,8,14,0.9756838905775076,0.9582089552238806,0.9668674698795181,-0.009127725856697851,0.005340657910360778
12,251,243,10,8,0.9604743083003953,0.9681274900398407,0.9642857142857143,-0.009176954732510215,0.00589182000656171
13,349,347,1,2,0.9971264367816092,0.994269340974212,0.9956958393113342,-0.009106628242074859,0.005099317566095865
14,301,294,6,7,0.98,0.9767441860465116,0.9783693843594009,-0.009931972789115716,0.005280769712945743
15,311,304,0,7,1.0,0.977491961414791,0.9886178861788618,-0.00937499999999992,0.005250704839903821
16,620,597,23,23,0.9629032258064516,0.9629032258064516,0.9629032258064516,-0.009346733668341838,0.005216457998939134
17,403,390,3,13,0.9923664122137404,0.967741935483871,0.9798994974874372,-0.008743589743589722,0.004983140543657503
18,296,283,7,13,0.9758620689655172,0.956081081081081,0.9658703071672354,-0.009222614840989312,0.005054115373489318
19,767,757,13,10,0.9831168831168832,0.9869621903520208,0.9850357839947951,-0.009431968295904942,0.005198280678983088
20,725,685,12,40,0.9827833572453372,0.9448275862068966,0.9634317862165963,-0.009065693430657008,0.005211167653681364
21,778,745,25,33,0.9675324675324676,0.9575835475578406,0.962532299741602,-0.0095570469798659,0.005175293073224531
22,1045,943,39,102,0.960285132382892,0.9023923444976076,0.9304390725209669,-0.009109225874867583,0.00535601561035179
23,694,614,22,80,0.9654088050314465,0.8847262247838616,0.9233082706766917,-0.009429967426709904,0.0051839907343466315
24,722,645,32,77,0.9527326440177253,0.8933518005540166,0.9220872051465333,-0.009178294573643433,0.0050829546623271755
25,497,450,16,47,0.9656652360515021,0.9054325955734407,0.9345794392523364,-0.009466666666666651,0.005222174940684205
26,873,730,52,143,0.9335038363171355,0.8361970217640321,0.8821752265861027,-0.00880821917808208,0.005547201032451016
27,536,450,1,86,0.9977827050997783,0.8395522388059702,0.9118541033434651,-0.008266666666666719,0.0053015720938856025
28,591,502,15,89,0.9709864603481625,0.8494077834179357,0.9061371841155235,-0.008904382470119472,0.005185293784406907
29,1052,905,20,147,0.9783783783783784,0.8602661596958175,0.9155285786545272,-0.00885082872928168,0.005085442540482046
30,857,758,20,99,0.974293059125964,0.8844807467911319,0.9272171253822629,-0.008693931398416887,0.005111809505200307
31,769,648,13,121,0.9803328290468987,0.8426527958387516,0.9062937062937062,-0.008271604938271395,0.005337989508426673
