,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,284,282,15,2,0.9494949494949495,0.9929577464788732,0.9707401032702236,0.00421660154078027,0.003973185257890131
1,454,450,50,4,0.9,0.9911894273127754,0.9433962264150944,0.004090199051111127,0.0037062276910223946
2,368,363,23,5,0.9404145077720207,0.9864130434782609,0.9628647214854111,0.0039464527741046845,0.0036472025946779926
3,466,463,13,3,0.9726890756302521,0.9935622317596566,0.9830148619957536,0.004104504300216026,0.003845312282177484
4,519,513,18,6,0.9661016949152542,0.9884393063583815,0.9771428571428571,0.0042285608323587515,0.003757775686368849
5,355,353,18,2,0.9514824797843666,0.9943661971830986,0.9724517906336088,0.0041740057648725236,0.003492731673996685
6,408,405,21,3,0.9507042253521126,0.9926470588235294,0.9712230215827339,0.004339016274074255,0.003546784434394772
7,232,229,24,3,0.9051383399209486,0.9870689655172413,0.9443298969072165,0.003790957441048061,0.003354507625724492
8,192,186,12,6,0.9393939393939394,0.96875,0.9538461538461539,0.004268524612903106,0.003706778154950107
9,222,218,25,4,0.897119341563786,0.9819819819819819,0.9376344086021506,0.004253780995412843,0.003716410787687243
10,180,180,8,0,0.9574468085106383,1.0,0.9782608695652174,0.0044959687611112195,0.003975110400482846
11,209,208,14,1,0.9369369369369369,0.9952153110047847,0.9651972157772621,0.004131017788461572,0.0034391162761941286
12,179,176,5,3,0.9723756906077348,0.9832402234636871,0.9777777777777776,0.004726473988636362,0.00392935825867357
13,212,212,16,0,0.9298245614035088,1.0,0.9636363636363636,0.003705771570754754,0.003330353748761798
14,222,218,10,4,0.956140350877193,0.9819819819819819,0.9688888888888889,0.004532234931192833,0.004472860238245642
15,199,197,14,2,0.933649289099526,0.9899497487437185,0.9609756097560975,0.004335554883248779,0.0038982043139486307
16,497,491,17,6,0.9665354330708661,0.9879275653923542,0.9771144278606965,0.0045435064643586055,0.0035915129827952556
17,299,297,11,2,0.9642857142857143,0.9933110367892977,0.9785831960461285,0.0044085602861952435,0.003738223553640493
18,285,284,9,1,0.9692832764505119,0.9964912280701754,0.9826989619377162,0.004389751200703931,0.003791347478112189
19,572,560,12,12,0.9790209790209791,0.9790209790209791,0.9790209790209791,0.004550332041071516,0.004186118962853129
20,531,526,33,5,0.9409660107334525,0.9905838041431262,0.965137614678899,0.004291706558935407,0.003846092494663205
21,571,566,37,5,0.9386401326699834,0.9912434325744308,0.9642248722316865,0.004559065083038922,0.0039145063571989465
22,765,764,43,1,0.9467162329615861,0.9986928104575163,0.9720101781170484,0.0043469447120420114,0.003591044127234888
23,529,525,11,4,0.9794776119402985,0.9924385633270322,0.9859154929577465,0.004653579507619065,0.0038726500608870975
24,546,542,19,4,0.966131907308378,0.9926739926739927,0.979223125564589,0.004661913974169948,0.0036996281748928315
25,362,359,18,3,0.9522546419098143,0.9917127071823204,0.9715832205683356,0.0044624776657381255,0.003807962483893808
26,687,680,27,7,0.9618104667609618,0.9898107714701602,0.975609756097561,0.004450646919117586,0.004076029826054519
27,432,429,8,3,0.9816933638443935,0.9930555555555556,0.9873417721518988,0.004920212060606292,0.0037612283286459383
28,453,449,22,4,0.9532908704883227,0.9911699779249448,0.9718614718614719,0.004380482734966668,0.004287463735536764
29,810,801,20,9,0.9756394640682094,0.9888888888888889,0.9822194972409565,0.004749108956304584,0.004131500172842188
30,681,680,25,1,0.9645390070921985,0.9985315712187959,0.9812409812409814,0.004343670804411736,0.003991234548080919
31,643,636,8,7,0.9875776397515528,0.9891135303265941,0.9883449883449883,0.004526483548742286,0.0034648649719634023
